	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
1432	98108.0	47.560559999999995	-122.32593	1975.0	1.0	1.0	28126.0	44.0	870625.8125	18.63	0.0	0.0	6346.0	0.0	0.0	0.0	0.0	0.0	0.0	21780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1433	98108.0	47.54813	-122.32553	1964.0	1.0	1.0	35000.0	53.0	378714.4063	2.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1434	98108.0	47.549479999999996	-122.32536	1962.0	1.0	1.0	26150.0	6.0	1208407.625	26.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1435	98108.0	47.54974	-122.3261	1967.0	1.0	2.0	24000.0	73.0	1088556.25	7.59	0.0	0.0	24000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1436	98102.0	47.64132	-122.31643999999999	1968.0	1.0	5.0	43594.0	38.0	2478045.5	73.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40809.0	0.0	0.0	0.0	0.0	0.0	0.0
1442	98103.0	47.65791	-122.34273999999999	1912.0	1.0	1.0	28080.0		794724.625	18.54	25580.0	0.0	2500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1456	98133.0	47.72618	-122.35642	1954.0	1.0	2.0	51298.0	85.0	5655578.0	203.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1458	98133.0	47.72558	-122.3578	1962.0	1.0	1.0	22047.0	100.0	265774.9063	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22898.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1462	98108.0	47.5213	-122.32182	1979.0	1.0	1.0	31600.0	3.0	3363535.5	103.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1463	98108.0	47.52024	-122.32137	2007.0	1.0	1.0	35289.0	63.0	876425.0	23.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1464	98108.0	47.51899	-122.321	1981.0	1.0	1.0	28920.0	50.0	1750419.0	80.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1465	98108.0	47.5193	-122.3213	1978.0	1.0	1.0	22176.0	60.0	736428.625	32.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1466	98108.0	47.51968	-122.3212	1978.0	1.0	1.0	31300.0	89.0	362874.0	9.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1467	98108.0	47.51918	-122.31957	1979.0	1.0	1.0	22000.0	14.0	700627.625	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1468	98125.0	47.700790000000005	-122.32713999999999	1974.0	1.0	3.0	39927.0	38.0	3568419.5	24.88	0.0	0.0	39541.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1469	98115.0	47.69883	-122.32479	1979.0	1.0	1.0	30610.0		4294550.0	135.81	0.0	0.0	7290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23320.0
1470	98115.0	47.700070000000004	-122.32533000000001	1980.0	1.0	2.0	26930.0	64.0	1002995.0	6.99	0.0	0.0	26930.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1471	98115.0	47.70087	-122.32378999999999	1968.0	1.0	2.0	38745.0	76.0	2890379.0	49.62	0.0	0.0	65069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1472	98105.0	47.66353	-122.29505	1959.0	1.0	2.0	20296.0		855665.125	5.97	0.0	0.0	0.0	0.0	0.0	0.0	20296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1473	98105.0	47.662459999999996	-122.29342	1945.0	1.0	2.0	22135.0		1261634.5	27.41	0.0	0.0	8116.0	0.0	0.0	3200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1474	98105.0	47.66183	-122.29263999999999	1967.0	1.0	3.0	38378.0	86.0	1645605.125	53.73	0.0	0.0	35066.0	3312.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1475	98105.0	47.66294	-122.29521000000001	1980.0	1.0	2.0	33576.0	64.0	1275231.75	49.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1476	98105.0	47.66205	-122.29545	1975.0	1.0	1.0	33005.0	21.0	10642754.0	225.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34982.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1481	98104.0	47.61074	-122.32258999999999	1981.0	1.0	1.0	20971.0		729397.1875	5.08	0.0	0.0	8509.0	23483.0	0.0	10360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1486	98199.0	47.63981	-122.39907	1927.0	1.0	3.0	23910.0		873577.3125	15.11	0.0	0.0	20000.0	0.0	0.0	3910.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
